Stadium,College,Conference,Capacity
Michigan Stadium,Michigan,Big Ten,"107,601"
Beaver Stadium,Penn State,Big Ten,"106,572"
Ohio Stadium,Ohio State,Big Ten,"104,944"
Kyle Field,Texas A&M,SEC,"102,733"
Neyland Stadium,Tennessee,SEC,"102,521"
Bryant Denny Stadium,Alabama,SEC,"101,821"
Tiger Stadium,LSU,SEC,"100,500"
Royal Memorial Stadium,Texas,Big 12,"100,119"
Los Angeles Coliseum,USC,Pac 12,"93,607"
Sanford Stadium,Georgia,SEC,"92,746"
Memorial Stadium,Nebraska,Big Ten,"92,000"
Rose Bowl,UCLA,Pac 12,"89,702"
Ben Hill Griffin Stadium,Florida,SEC,"88,548"
Jordan Hare Stadium,Auburn,SEC,"87,451"
Memorial Stadium,Oklahoma,Big 12,"84,000"
Doak Campbell Stadium,Florida State,ACC,"82,300"
Memorial Stadium,Clemson,ACC,"81,500"
Camp Randall Stadium,Wisconsin,Big Ten,"80,321"
Williams Brice Stadium,South Carolina,SEC,"80,250"
Notre Dame Stadium,Notre Dame,Independent,"77,622"
Spartan Stadium,Michigan State,Big Ten,"75,005"
Razorback Stadium,Arkansas,SEC,"72,000"
Legion Field,UAB,CUSA,"71,594"
Faurot Field,Missouri,SEC,"71,004"
Kinnick Stadium,Iowa,Big Ten,"70,585"
Qualcomm Stadium,San Diego State,Mountain West,"70,561"
Husky Stadium,Washington,Pac 12,"70,138"
Gillette Stadium,Umass,MAC,"68,756"
Lincoln Financial Field,Temple,AAC,"68,532"
Lane Stadium,Virginia Tech,ACC,"66,233"
Raymond James Stadium,South Florida,AAC,"65,857"
Heinz Field,Pittsburgh,ACC,"65,500"
Hard Rock Stadium,Miami,ACC,"65,236"
Alamodome,UTSA,CUSA,"65,000"
Davis Wade Stadium,Mississippi State,SEC,"64,038"
LaVell Edwards Stadium,BYU,Independent,"63,725"
Kenan Stadium,North Carolina,ACC,"62,980"
Memorial Stadium,California,Pac 12,"62,717"
Ross Ade Stadium,Purdue,Big Ten,"62,500"
Liberty Bowl,Memphis,AAC,"62,380"
Scott Stadium,Virginia,ACC,"61,500"
Jack Trice Stadium,Iowa State,Big 12,"61,000"
Kroger Field,Kentucky,SEC,"61,000"
Jones AT&T Stadium,Texas Tech,Big 12,"60,862"
Memorial Stadium,Illinois,Big Ten,"60,670"
Boone Pickens Stadium,Oklahoma State,Big 12,"60,218"
Mountaineer Field,West Virginia,Big 12,"60,000"
Vaught Hemingway Stadium,Mississippi,SEC,"58,580"
Carter Finley Stadium,NC State,ACC,"57,583"
Sun Devil Stadium,Arizona State,Pac 12,"56,232"
Arizona Stadium,Arizona,Pac 12,"56,037"
Bobby Dodd Stadium,Georgia Tech,ACC,"55,000"
Papa John’s Cardinal Stadium,Louisville,ACC,"55,000"
Maryland Stadium,Maryland,Big Ten,"54,000"
Autzen Stadium,Oregon,Pac 12,"54,000"
Folsom Field,Colorado,Pac 12,"53,750"
Memorial Stadium,Indiana,Big Ten,"52,959"
High Point Solutions Stadium,Rutgers,Big Ten,"52,454"
Falcon Stadium,Air Force,Mountain West,"52,237"
Sun Bowl Stadium,UTEP,CUSA,"51,500"
TCF Bank Stadium,Minnesota,Big Ten,"50,805"
Memorial Stadium,Kansas,Big 12,"50,071"
Dowdy Ficklen Stadium,East Carolina,AAC,"50,000"
Bill Snyder Football Stadium,Kansas State,Big 12,"50,000"
Aloha Stadium,Hawaii,Mountain West,"50,000"
Stanford Stadium,Stanford,Pac 12,"50,000"
Carrier Dome,Syracuse,ACC,"49,250"
Ryan Field,Northwestern,Big Ten,"47,130"
Rice Stadium,Rice,CUSA,"47,000"
Reser Stadium,Oregon State,Pac 12,"45,674"
Bright House Networks Stadium,Central Florida,AAC,"45,323"
McLane Stadium,Baylor,Big 12,"45,140"
Rice Eccles Stadium,Utah,Pac 12,"45,017"
Amon Carter Stadium,TCU,Big 12,"45,000"
Alumni Stadium,Boston College,ACC,"44,500"
Colorado State Stadium,Colorado State,Mountain West,"41,200"
Bulldog Stadium,Fresno State,Mountain West,"41,031"
Ladd Peebles Stadium,South Alabama,Sun Belt,"40,646"
Vanderbilt Stadium,Vanderbilt,SEC,"40,550"
Wallace Wade Stadium,Duke,ACC,"40,004"
Nippert Stadium,Cincinnati,AAC,"40,000"
Rentschler Field,Connecticut,AAC,"40,000"
TDECU Stadium,Houston,AAC,"40,000"
Dreamstyle Stadium,New Mexico,Mountain West,"39,224"
Joan Edwards Stadium,Marshall,CUSA,"38,019"
Michie Stadium,Army,Independent,"38,000"
Albertsons Stadium,Boise State,Mountain West,"37,000"
Sam Boyd Stadium,UNLV,Mountain West,"36,800"
Roberts Stadium,Southern Miss,CUSA,"36,000"
Skelly Field,Tulsa,AAC,"35,542"
